county,zip code,city
Greene,65899,Springfield
Greene,65898,Springfield
Greene,65890,Springfield
Greene,65817,Springfield
Greene,65814,Springfield
Greene,65810,Springfield
Greene,65809,Springfield
Greene,65808,Springfield
Greene,65807,Springfield
Greene,65806,Springfield
Greene,65805,Springfield
Greene,65804,Springfield
Greene,65803,Springfield
Greene,65802,Springfield
Greene,65801,Springfield
Howell,65793,Willow Springs
Oregon,65791,Thayer
Howell,65790,Pottersville
Howell,65789,Pomona
Howell,65788,Peace Valley
Camden,65787,Roach
Camden,65786,Branch
Camden,65786,Macks Creek
Cedar,65785,Stockton
Ozark,65784,Zanoni
Dallas,65783,Windyville
Greene,65781,Willard
Hickory,65779,Wheatland
Hickory,65779,Galmey
Oregon,65778,Myrtle
Howell,65777,Moody
Howell,65776,South Fork
Howell,65776,West Plains
Howell,65775,West Plains
Howell,65775,Lanton
Hickory,65774,Weaubleau
Ozark,65773,Wasola
Ozark,65773,Souder
Barry,65772,Washburn
Taney,65771,Walnut Shade
Greene,65770,Walnut Grove
Lawrence,65769,Verona
Douglas,65768,Vanzant
Dallas,65767,Urbana
Ozark,65766,Udall
Greene,65765,Turners
Dallas,65764,Tunas
Ozark,65762,Thornfield
Ozark,65762,Nottinghill
Ozark,65761,Dugginsville
Ozark,65761,Ocie
Ozark,65761,Longrun
Ozark,65761,Theodosia
Ozark,65760,Tecumseh
Ozark,65760,Sycamore
Taney,65759,Taneyville
Greene,65757,Strafford
Lawrence,65756,Vineyard
Lawrence,65756,Stotts City
Douglas,65755,Squires
Christian,65754,Spokane
Christian,65753,Sparta
Christian,65753,Elkhead
Dade,65752,South Greenfield
Barry,65747,Shell Knob
Barry,65747,Viola
Webster,65746,Seymour
Webster,65746,Cedar Gap
Barry,65745,Seligman
Taney,65744,Rueter
Webster,65742,Rogersville
Webster,65742,Linden
Webster,65742,Springfield
Ozark,65741,Rockbridge
Taney,65740,Rockaway Beach
Taney,65740,Merriam Woods Village
Taney,65739,Ridgedale
Greene,65738,Republic
Stone,65737,Branson West
Stone,65737,Lakeview
Stone,65737,Reeds Spring
Hickory,65735,Quincy
Barry,65734,Purdy
Taney,65733,Protem
Hickory,65732,Preston
Taney,65731,Powersite
McDonald,65730,Powell
Ozark,65729,Pontiac
Stone,65728,Ponce de Leon
Polk,65727,Bolivar
Polk,65727,Polk
Taney,65726,Point Lookout
Greene,65725,Pleasant Hope
Hickory,65724,Pittsburg
Lawrence,65723,Berwick
Lawrence,65723,Pierce City
Laclede,65722,Phillipsburg
Christian,65721,Springfield
Christian,65721,Finley
Christian,65721,Ozark
Christian,65720,Oldfield
Wright,65717,Norwood
Ozark,65715,Noble
Christian,65714,Nixa
Webster,65713,Niangua
Lawrence,65712,Mount Vernon
Lawrence,65712,Hoberg
Wright,65711,Manes
Wright,65711,Mountain Grove
Polk,65710,Morrisville
Barry,65708,Monett
Lawrence,65707,Miller
Lawrence,65707,Grays Point
Lawrence,65707,Capps Creek
Webster,65706,Marshfield
Lawrence,65705,Marionville
Wright,65704,Mansfield
Wright,65702,Macomb
Douglas,65701,Mc Clurg
Oregon,65692,Koshkonong
Oregon,65690,Couch
Howell,65689,Cabool
Howell,65688,Brandsville
Stone,65686,Kimberling City
Dallas,65685,Louisburg
Dade,65682,Lockwood
Stone,65681,Lampe
Taney,65680,Kissee Mills
Taney,65679,Mincy
Taney,65679,Kirbyville
Taney,65679,Mildred
Ozark,65676,Isabella
Stone,65675,Hurley
Polk,65674,Humansville
Taney,65673,Hollister
Taney,65672,Hollister
Christian,65669,Highlandville
Hickory,65668,Hermitage
Wright,65667,Hartville
Ozark,65666,Hardenville
Lawrence,65664,Halltown
Polk,65663,Half Way
Wright,65662,Grovespring
Dade,65661,Greenfield
Wright,65660,Graff
Polk,65659,Goodson
Barry,65658,Golden
Christian,65657,Garrison
Stone,65656,Galena
Ozark,65655,Gainesville
Lawrence,65654,Freistatt
Taney,65653,Forsyth
Webster,65652,Fordland
Polk,65650,Flemington
Polk,65649,Fair Play
Greene,65648,Fair Grove
Barry,65647,Exeter
Dade,65646,Everton
Polk,65645,Eudora
Polk,65645,Morrisville
Dallas,65644,Elkland
Barry,65641,Eagle Rock
Polk,65640,Dunnegan
Douglas,65638,Drury
Ozark,65637,Dora
Webster,65636,Diggins
Dade,65635,Dadeville
Hickory,65634,Cross Timbers
Stone,65633,Crane
Laclede,65632,Conway
Christian,65631,Clever
Christian,65630,Chestnutridge
Christian,65629,Chadwick
Taney,65627,Cedarcreek
Howell,65626,Caulfield
Barry,65625,Cassville
Stone,65624,Galena
Stone,65624,Cape Fair
Barry,65623,Cassville
Barry,65623,Butterfield
Dallas,65622,Buffalo
Christian,65620,Bruner
Greene,65619,Brookline Station
Greene,65619,Battlefield
Ozark,65618,Brixey
Polk,65617,Brighton
Taney,65616,Gretna
Taney,65616,Bull Creek Village
Taney,65616,Silver Dollar City
Taney,65616,Marvel Cave Park
Taney,65616,Branson
Taney,65615,Branson
Taney,65614,Bradleyville
Polk,65613,Bolivar
Polk,65613,Slagle
Greene,65612,Bois D Arc
Stone,65611,Blue Eye
Christian,65610,Billings
Christian,65610,Browns Spring
Christian,65610,Union City
Ozark,65609,Bakersfield
Douglas,65608,Ava
Cedar,65607,Caplinger Mills
Oregon,65606,Riverton
Oregon,65606,Alton
Lawrence,65605,Aurora
Lawrence,65605,Jenkins
Greene,65604,Ash Grove
Dade,65603,Arcola
Polk,65601,Aldrich
Camden,65591,Montreal
Dallas,65590,Cedar Ridge
Dallas,65590,Long Lane
Texas,65589,Yukon
Shannon,65588,Winona
Crawford,65586,Wesco
Pulaski,65584,Saint Robert
Pulaski,65583,Buckhorn
Pulaski,65583,Waynesville
Maries,65582,Vienna
Maries,65580,Vichy
Pulaski,65572,Swedeborg
Texas,65571,Summersville
Texas,65570,Success
Laclede,65567,Stoutland
Iron,65566,Steelville
Iron,65566,Viburnum
Crawford,65565,Steelville
Crawford,65565,Courtois
Crawford,65565,Berryman
Texas,65564,Solo
Dent,65560,Doss
Dent,65560,Gladden
Dent,65560,Timber
Dent,65560,Maples
Dent,65560,Shannondale
Dent,65560,Salem
Dent,65560,Sligo
Phelps,65559,High Gate
Phelps,65559,Rosati
Phelps,65559,Saint James
Phelps,65559,Safe
Texas,65557,Roby
Pulaski,65556,Richland
Texas,65555,Raymondville
Texas,65552,Plato
Texas,65552,Evening Shade
Texas,65552,Palace
Phelps,65550,Newburg
Phelps,65550,Big Piney
Howell,65548,Mountain View
Shannon,65546,Montier
Laclede,65543,Lynchburg
Texas,65542,Licking
Dent,65541,Lenox
Dent,65540,Lecoma
Dent,65540,Anutt
Laclede,65536,Lebanon
Crawford,65535,Leasburg
Pulaski,65534,Laquey
Dent,65532,Lake Spring
Phelps,65529,Jerome
Dent,65501,Jadwin
Miller,65486,Iberia
Texas,65484,Huggins
Texas,65483,Houston
Texas,65483,Clara
Texas,65483,Simmons
Texas,65483,Tyrone
Texas,65479,Hartshorn
Pulaski,65473,Fort Leonard Wood
Wright,65470,Falcon
Wright,65470,Nebo
Texas,65468,Eunice
Shannon,65466,Eminence
Shannon,65466,Ink
Shannon,65466,West Eminence
Shannon,65466,Owls Bend
Shannon,65466,Round Spring
Shannon,65466,Alley Springs
Texas,65464,Elk Creek
Texas,65464,Tyrone
Texas,65464,Grogan
Laclede,65463,Eldridge
Phelps,65462,Edgar Springs
Phelps,65461,Duke
Pulaski,65459,Hayden
Pulaski,65459,Dixon
Pulaski,65457,Devils Elbow
Crawford,65456,Davisville
Crawford,65453,Cuba
Pulaski,65452,Crocker
Crawford,65449,Cook Station
Crawford,65446,Cherryville
Texas,65444,Bucyrus
Texas,65444,Ellis Prairie
Maries,65443,Brinktown
Crawford,65441,Bourbon
Dent,65440,Boss
Iron,65439,Bixby
Shannon,65438,Teresita
Shannon,65438,Thomasville
Shannon,65438,Birch Tree
Phelps,65436,Beulah
Texas,65433,Bendavis
Phelps,65409,Rolla
Phelps,65402,Rolla
Phelps,65401,Rolla
Henry,65360,Windsor
Benton,65355,Fristoe
Benton,65355,Warsaw
Benton,65355,Old Fredonia
Benton,65355,Whitakerville
Benton,65355,Racket
Benton,65355,Wisdom
Morgan,65354,Syracuse
Saline,65351,Cretcher
Saline,65351,Salt Pond
Saline,65351,Dunksburg
Saline,65351,Sweet Springs
Pettis,65350,Smithton
Pettis,65350,Beaman
Pettis,65350,Bahner
Saline,65349,Sharon
Saline,65349,Slater
Saline,65349,Saline City
Cooper,65348,Otterville
Saline,65347,Nelson
Pettis,65345,Mora
Saline,65344,Miami
Saline,65340,Marshall
Saline,65340,Napton
Saline,65340,Marshall Junction
Saline,65339,Grand Pass
Saline,65339,Malta Bend
Benton,65338,Lakeview Heights
Benton,65338,Palopinto
Benton,65338,Lincoln
Pettis,65337,La Monte
Johnson,65336,Valley City
Johnson,65336,Montserrat
Johnson,65336,Knob Noster
Benton,65335,Ionia
Pettis,65334,Longwood
Pettis,65334,Hughesville
Pettis,65333,Houstonia
Pettis,65332,Green Ridge
Saline,65330,Gilliam
Morgan,65329,Florence
Lafayette,65327,Emma
Benton,65326,Edwards
Benton,65326,Hastain
Benton,65326,Sagrada
Benton,65325,Mount Hulda
Benton,65325,Cole Camp
Camden,65324,Climax Springs
Henry,65323,Lewis Station
Henry,65323,Calhoun
Cooper,65322,Blackwater
Saline,65321,Blackburn
Saline,65321,Elmwood
Saline,65320,Arrow Rock
Johnson,65305,Knob Noster
Johnson,65305,Whiteman Air Force Base
Pettis,65302,Sedalia
Pettis,65301,Longwood
Pettis,65301,Sedalia
Pettis,65301,Dresden
Pettis,65301,Springfork
Pettis,65301,Georgetown
Boone,65299,Columbia
Cooper,65287,Wooldridge
Chariton,65286,Triplett
Chariton,65286,Snyder
Audrain,65285,Thompson
Boone,65284,Riggs
Boone,65284,Sturgeon
Monroe,65283,Florida
Monroe,65283,Stoutsville
Monroe,65282,Santa Fe
Chariton,65281,Bynumville
Chariton,65281,Prairie Hill
Chariton,65281,Forest Green
Chariton,65281,Salisbury
Audrain,65280,Rush Hill
Boone,65279,Rocheport
Boone,65279,Woodlinville
Randolph,65278,Renick
Cooper,65276,Pilot Grove
Monroe,65275,Granville
Monroe,65275,Paris
Monroe,65275,Goss
Monroe,65275,Strother
Howard,65274,New Franklin
Howard,65274,Estill
Randolph,65270,Moberly
Randolph,65270,Urbandale
Audrain,65265,Vandiver Village
Audrain,65265,Mexico
Audrain,65265,Riversville
Audrain,65264,Martinsburg
Monroe,65263,Middle Grove
Monroe,65263,Woodlawn
Monroe,65263,Ash
Monroe,65263,Madison
Callaway,65262,Kingdom City
Chariton,65261,Keytesville
Chariton,65261,Musselfork
Randolph,65260,Jacksonville
Randolph,65259,Darksville
Randolph,65259,Huntsville
Monroe,65258,Holliday
Randolph,65257,Higbee
Randolph,65257,Yates
Boone,65256,Harrisburg
Boone,65256,Woodlandville
Boone,65255,Hallsville
Howard,65254,Glasgow
Callaway,65251,Fulton
Callaway,65251,Carrington
Callaway,65251,Hams Prairie
Callaway,65251,Millersburg
Callaway,65251,Calwood
Howard,65250,Franklin
Howard,65250,Boonesboro
Howard,65250,Petersburg
Howard,65248,Fayette
Macon,65247,Excello
Macon,65247,Ardmore
Macon,65247,Woodville
Macon,65247,College Mound
Chariton,65246,Dalton
Randolph,65244,Thomas Hill
Randolph,65244,Clifton Hill
Randolph,65243,Rucker
Randolph,65243,Clark
Boone,65240,Rowena
Boone,65240,Centralia
Randolph,65239,Cairo
Cooper,65237,Lone Elm
Cooper,65237,Cotton
Cooper,65237,Bunceton
Cooper,65237,Pisgah
Chariton,65236,Brunswick
Chariton,65236,Indian Grove
Cooper,65233,Billingsville
Cooper,65233,Lamine
Cooper,65233,Boonville
Cooper,65233,Overton
Cooper,65233,Speed
Cooper,65233,Clarks Fork
Cooper,65233,Gooch Mill
Audrain,65232,Benton City
Callaway,65231,Bachelor
Callaway,65231,Hatton
Callaway,65231,Auxvasse
Howard,65230,Roanoke
Howard,65230,Armstrong
Boone,65218,Columbia
Boone,65217,Columbia
Boone,65216,Columbia
Boone,65215,Columbia
Boone,65212,Columbia
Boone,65211,Columbia
Boone,65205,Columbia
Boone,65203,McBaine
Boone,65203,Huntsdale
Boone,65203,Sapp
Boone,65203,Columbia
Boone,65203,Easley
Boone,65202,Shaw
Boone,65202,Browns Station
Boone,65202,Stephens
Boone,65202,Columbia
Boone,65202,Prathersville
Boone,65202,Murry
Boone,65202,Midway
Boone,65202,Hinton
Boone,65202,Lindbergh
Boone,65201,Elkhurst
Boone,65201,Columbia
Boone,65201,Pierpont
Boone,65201,Harg
Boone,65201,Deer Park
Cole,65111,Jefferson City
Cole,65110,Jefferson City
Cole,65109,Jefferson City
Cole,65109,Elston
Cole,65109,Saint Martins
Cole,65109,Brazito
Cole,65108,Jefferson City
Cole,65107,Jefferson City
Cole,65106,Jefferson City
Cole,65105,Jefferson City
Cole,65104,Jefferson City
Cole,65103,Jefferson City
Cole,65102,Jefferson City
Cole,65101,Jefferson City
Cole,65101,Osage Bend
Cole,65101,Osage Bluff
Cole,65101,Osage City
Cole,65101,Honey Creek
Cole,65101,Wardsville
Cole,65101,Schubert
Cole,65101,Taos
Osage,65085,Babbtown
Osage,65085,Westphalia
Osage,65085,Folk
Morgan,65084,Glensted
Morgan,65084,Marvin
Morgan,65084,Versailles
Miller,65083,Ulman
Miller,65082,Equality
Miller,65082,Tuscumbia
Moniteau,65081,Tipton
Callaway,65080,Tebbetts
Camden,65079,Sunrise Beach
Morgan,65078,Stover
Callaway,65077,Steedman
Callaway,65077,Reform
Cole,65076,Saint Thomas
Miller,65075,Saint Elizabeth
Cole,65074,Enon
Cole,65074,Russellville
Morgan,65072,Rocky Mount
Morgan,65072,Eldon
Montgomery,65069,Americus
Montgomery,65069,Rhineland
Montgomery,65069,Bluffton
Montgomery,65069,Starkenburg
Cooper,65068,Prairie Home
Cooper,65068,Gouch Mill
Callaway,65067,Readsville
Callaway,65067,Portland
Gasconade,65066,Bem
Gasconade,65066,Brush Creek
Gasconade,65066,Drake
Gasconade,65066,Old Woollam
Gasconade,65066,Owensville
Camden,65065,Osage Beach
Camden,65065,Laguna Beach
Miller,65064,Olean
Callaway,65063,Dixie
Callaway,65063,Guthrie
Callaway,65063,New Bloomfield
Gasconade,65062,Bland
Gasconade,65062,Mount Sterling
Gasconade,65061,Fredericksburg
Gasconade,65061,Morrison
Gasconade,65061,Gasconade
Gasconade,65061,Pershing
Gasconade,65061,Hope
Callaway,65059,Mokane
Osage,65058,Babbtown
Osage,65058,Vancleve
Osage,65058,Meta
Moniteau,65055,Mc Girk
Osage,65054,Loose Creek
Cole,65053,Lohman
Camden,65052,Hugo
Camden,65052,Linn Creek
Osage,65051,Linn
Moniteau,65050,Latham
Camden,65049,Four Seasons
Camden,65049,Village of Four Seasons
Camden,65049,Lake Ozark
Osage,65048,Koeltztown
Miller,65047,Kaiser
Moniteau,65046,Cedron
Moniteau,65046,Sandy Hook
Moniteau,65046,Lupus
Moniteau,65046,Jamestown
Callaway,65043,Holts Summit
Callaway,65043,Wainwright
Moniteau,65042,High Point
Moniteau,65042,California
Gasconade,65041,Hermann
Gasconade,65041,McKittrick
Gasconade,65041,Swiss
Gasconade,65041,Case
Cole,65040,Henley
Cole,65040,Hickory Hill
Boone,65039,Wilton
Boone,65039,Hartsburg
Morgan,65038,Gravois Mills
Morgan,65038,Laurie
Morgan,65037,Gravois Mills
Morgan,65037,Laurie
Gasconade,65036,Gasconade
Gasconade,65036,Morrison
Osage,65035,Freeburg
Osage,65035,Rich Fountain
Moniteau,65034,Fortuna
Cole,65032,Eugene
Cole,65032,Marys Home
Cole,65032,Spring Garden
Miller,65031,Etterville
Miller,65026,Lakeland
Miller,65026,Bagnell
Miller,65026,Aurora Springs
Miller,65026,Eldon
Moniteau,65025,Clarksburg
Osage,65024,Freedom
Osage,65024,Chamois
Osage,65024,Mint Hill
Cole,65023,Marion
Cole,65023,Centertown
Callaway,65022,Cedar City
Camden,65020,Greenview
Camden,65020,Hahatonka
Camden,65020,Camdenton
Moniteau,65018,California
Moniteau,65018,Kliever
Miller,65017,Brumley
Osage,65016,Bonnots Mill
Osage,65016,Luystown
Osage,65016,Frankenstein
Gasconade,65014,Old Woolam
Gasconade,65014,Cleavesville
Gasconade,65014,Red Bird
Gasconade,65014,Bland
Gasconade,65014,Canaan
Gasconade,65014,Cooper Hill
Maries,65013,Byron
Maries,65013,Belle
Maries,65013,Summerfield
Maries,65013,Paydown
Maries,65013,Koenig
Maries,65013,Lanes Prairie
Morgan,65011,Barnett
Boone,65010,Ashland
Osage,65001,Argyle
Jackson,64999,Kansas City
Jackson,64944,Kansas City
Barry,64874,Wheaton
Lawrence,64873,Wentworth
Jasper,64870,Webb City
Jasper,64869,Waco
McDonald,64868,Tiff City
Newton,64867,Stella
Newton,64866,Stark City
Newton,64865,Seneca
Newton,64865,Hart
Newton,64865,Hornet
Newton,64864,Saginaw
McDonald,64863,South West City
Jasper,64862,Sarcoxie
McDonald,64861,Rocky Comfort
Jasper,64859,Reeds
Newton,64858,Racine
Jasper,64857,Purcell
McDonald,64856,Pineville
McDonald,64856,Jane
Jasper,64855,Oronogo
McDonald,64854,Noel
Newton,64853,Newtonia
Newton,64853,Neosho
Newton,64850,Neosho
Jasper,64849,Neck City
Lawrence,64848,La Russell
McDonald,64847,Lanagan
Newton,64844,Boulder City
Newton,64844,Granby
Newton,64844,Aroma
McDonald,64843,Goodman
Newton,64842,Fairview
Jasper,64841,Duenweg
Newton,64840,Diamond
Jasper,64836,Kendricktown
Jasper,64836,Scotland
Jasper,64836,Brooklyn Heights
Jasper,64836,Morgan Heights
Jasper,64836,Fidelity
Jasper,64836,Carthage
Jasper,64836,Carytown
Jasper,64835,Carterville
Jasper,64834,Carl Junction
Jasper,64834,Stringtown
